date,Aggravated Assault,Robbery,Larceny-Theft
2006-09-02,18,25,109
2006-09-03,35,34,117
2006-09-04,38,19,110
2006-09-05,31,32,131
2006-09-06,27,23,135
2006-09-07,24,31,119
2006-09-08,32,29,135
2006-09-09,27,29,114
2006-09-10,40,18,121
2006-09-11,26,26,144
2006-09-12,26,18,131
2006-09-13,31,24,121
2006-09-14,25,27,123
2006-09-15,33,35,126
2006-09-16,42,33,102
2006-09-17,51,36,119
2006-09-18,39,21,115
2006-09-19,22,31,134
2006-09-20,27,32,130
2006-09-21,34,25,110
2006-09-22,32,34,117
2006-09-23,34,26,96
2006-09-24,35,31,117
2006-09-25,32,29,138
2006-09-26,29,27,123
2006-09-27,30,31,123
2006-09-28,31,29,139
2006-09-29,22,27,132
2006-09-30,30,29,116
2006-10-01,42,28,95
2006-10-02,25,31,125
2006-10-03,37,31,115
2006-10-04,26,44,105
2006-10-05,29,26,123
2006-10-06,33,30,114
2006-10-07,30,47,115
2006-10-08,37,33,108
2006-10-09,22,36,130
2006-10-10,21,24,134
2006-10-11,36,29,110
2006-10-12,37,36,128
2006-10-13,32,40,119
2006-10-14,20,32,139
2006-10-15,26,36,111
2006-10-16,26,36,110
2006-10-17,23,37,131
2006-10-18,26,27,130
2006-10-19,18,36,147
2006-10-20,29,33,135
2006-10-21,26,37,114
2006-10-22,53,39,95
2006-10-23,26,49,140
2006-10-24,24,36,125
2006-10-25,19,39,108
2006-10-26,22,28,131
2006-10-27,19,38,109
2006-10-28,40,30,146
2006-10-29,35,40,115
2006-10-30,24,40,131
2006-10-31,40,27,121
2006-11-01,35,37,107
2006-11-02,34,29,141
2006-11-03,27,33,106
2006-11-04,24,26,90
2006-11-05,24,34,90
2006-11-06,27,40,130
2006-11-07,32,42,103
2006-11-08,23,29,106
2006-11-09,25,26,119
2006-11-10,27,38,107
2006-11-11,29,39,98
2006-11-12,30,50,113
2006-11-13,19,30,110
2006-11-14,16,40,120
2006-11-15,31,37,108
2006-11-16,24,40,128
2006-11-17,21,35,124
2006-11-18,25,31,125
2006-11-19,29,40,93
2006-11-20,25,39,114
2006-11-21,38,27,99
2006-11-22,24,32,103
2006-11-23,22,17,58
2006-11-24,23,37,108
2006-11-25,31,37,112
2006-11-26,30,47,96
2006-11-27,25,37,124
2006-11-28,17,36,132
2006-11-29,26,35,111
2006-11-30,25,34,125
2006-12-01,29,29,121
2006-12-02,28,34,127
2006-12-03,23,33,106
2006-12-04,25,28,127
2006-12-05,13,39,108
2006-12-06,27,31,111
2006-12-07,29,41,98
2006-12-08,20,40,92
2006-12-09,31,31,108
2006-12-10,24,33,91
2006-12-11,21,39,117
2006-12-12,22,26,125
2006-12-13,23,22,128
2006-12-14,22,30,98
2006-12-15,21,31,127
2006-12-16,33,33,97
2006-12-17,27,31,93
2006-12-18,37,36,137
2006-12-19,25,21,108
2006-12-20,24,38,116
2006-12-21,26,23,126
2006-12-22,14,39,121
2006-12-23,15,29,101
2006-12-24,24,23,89
2006-12-25,15,18,44
2006-12-26,22,33,115
2006-12-27,42,31,105
2006-12-28,25,28,125
2006-12-29,25,28,90
2006-12-30,34,32,98
2006-12-31,29,26,88
2007-01-01,33,38,76
2007-01-02,25,32,131
2007-01-03,18,29,85
2007-01-04,29,32,108
2007-01-05,26,44,96
2007-01-06,38,45,126
2007-01-07,26,30,89
2007-01-08,18,33,118
2007-01-09,20,30,113
2007-01-10,15,29,111
2007-01-11,18,33,114
2007-01-12,23,36,107
2007-01-13,23,42,103
